"X0","","15A3","ANALOG"
"X1","","15A3","ANALOG"
"X2","","15A3","ANALOG"
"X3","","15A3","ANALOG"
"X4","","15A3","ANALOG"
"X5","","15A3","ANALOG"
"X6","","15A3","ANALOG"
"X7","","15A3","ANALOG"
"X10","","15A3","ANALOG"
"X11","","15A3","ANALOG"
"X12","","15A3","ANALOG"
"X13","","15A3","ANALOG"
"X14","","15A3","ANALOG"
"X15","","15A3","ANALOG"
"X16","","15A3","ANALOG"
"X17","","15A3","ANALOG"
"X20","","15A5","ANALOG"
"X21","","15A5","ANALOG"
"X22","","15A5","ANALOG"
"X23","","15A5","ANALOG"
"X24","","15A5","ANALOG"
"X25","","15A5","ANALOG"
"X26","","15A5","ANALOG"
"X27","","15A5","ANALOG"
"X30","","15A5","ANALOG"
"X31","","15A5","ANALOG"
"X32","","15A5","ANALOG"
"X33","","15A5","ANALOG"
"X34","","15A5","ANALOG"
"X35","","15A5","ANALOG"
"X36","","15A5","ANALOG"
"X37","","15A5","ANALOG"
"X40","EMG сад цент","15A6.2.A0","Аварийный ограничитель Садка в центре печи"
"X41","EMG сад низ","15A6.2.A1","Аварийный ограничитель Садка внизу"
"X42","EMG сад верх","15A6.2.A2","Аварийный ограничитель Садка вверху"
"X43","EMG дом вниз","15A6.2.A3","Аварийный ограничитель Домкрат внизу"
"X44","EMG дом вверху","15A6.2.A4","Аварийный ограничитель Домкрат вверху"
"X45","EMG разгрузка","15A6.2.A5","Аварийный ограничитель Разгрузка"
"X46","EMG точка А","15A6.2.A6","Аварийный ограничитель Точка А"
"X47","PLC\MAN","15A6.2.A7","ПЛК-Наладка"
"X50","EMG Turbo","15A6.2.B0","Авария привода вращения вентилятора"
"X51","LED Heating","15A6.2.B1","Нагрев включен"
"X52","Turbo Ready","15A6.2.B2","Привод вращения вентилятора ГОТОВ"
"X53","B-нагрев","15A6.2.B3","Кнопка включить нагрев камеры"
"X54","Ц-шиб открыт","15A6.2.B4","Концевик Шибер открыт полностью"
"X55","Ц-шиб закрыт","15A6.2.B5","Концевик Шибер полностью закрыт"
"X56","В-шиб закрыть","15A6.2.B6","Кнопка Шибер закрыть"
"X57","В-шиб открыть","15A6.2.B7","Кнопка Шибер открыть"
"X60","Ц-телега от","15A6.2.C0","Концевик телега от камеры "
"X61","Ц-телега А","15A6.2.C1","Концевик телега в точке А"
"X62","Ц-телега под","15A6.2.C2","Концевик телега под печкой"
"X63","В-телегу под","15A6.2.C3","Кнопка телегу под печку"
"X64","В-телегу от","15A6.2.C4","Кнопка телегу от печки"
"X65","","15A6.2.C5",""
"X66","","15A6.2.C6",""
"X67","24V","15A6.2.C7","Питание 24В вкл."
"X70","Ц-под up","15A6.2.D0","Концевик ПОД вверху"
"X71","Ц-под down","15A6.2.D1","Концевик ПОД внизу"
"X72","В-под вниз","15A6.2.D2","Кнопка ПОД вниз"
"X73","В-под вверх","15A6.2.D3","Кнопка ПОД вверх"
"X74","Ц-под2 вверху","15A6.2.D4","Концевик ПОД2 вверху"
"X75","Ц-под2 внизу","15A6.2.D5","Концевик ПОД2 внизу"
"X76","","15A6.2.D6",""
"X77","","15A6.2.D7",""
"X100","Ц-под открыт","15A7.A0","Концевик ПОД открыт"
"X101","Ц-под закрыт","15A7.A1","Концевик ПОД закрыт"
"X102","В-под закр","15A7.A2","Кнопка ПОД закрыть"
"X103","В-под откр","15A7.A3","Кнопка ПОД открыть"
"X104","Ц-цепь вверху","15A7.A4","Концевик Цепи вверху"
"X105","Ц-цепь внизу","15A7.A5","Концевик Цепи внизу"
"X106","В-цепь вниз","15A7.A6","Кнопка Цепь вниз"
"X107","В-цепь вверх","15A7.A7","Кнопка Цепь вверх"
"X110","Ц-цепь под зацеп","15A7.B0","Концевик Цепи среднее положение для зацепа"
"X111","","15A7.B1",""
"X112","Ц-дом вверху","15A7.B2","Концевик домкрат вверху"
"X113","Ц-дом внизу","15A7.B3","Концевик домкрат внизу"
"X114","В-дом вниз","15A7.B4","Кнопка домкрат вниз"
"X115","В-дом вверх","15A7.B5","Кнопка домкрат вверх"
"X116","Ц-клап открыт","15A7.B6","Клапан воздушный индикация открыт"
"X117","В-клап открыть","15A7.B7","Клапан воздушный кнопка открыть"
"X120","БКВ К1","15A7.C0","БКВ К1"
"X121","БКВ К2","15A7.C1","БКВ К2"
"X122","БКВ К3","15A7.C2","БКВ К3"
"X123","БКВ К4","15A7.C3","БКВ К4"
"X124","Воздух <N","15A7.C4","Нет давления воздуха"
"X125","Вода <N","15A7.C5","Нет давления воды"
"X126","AutoStart","15A7.C6","Кнопка начать автоматический цикл"
"X127","But RST Error","15A7.C7","Кнопка сброс ошибки"
"X130","","15A7.D0",""
"X131","","15A7.D1",""
"X132","","15A7.D2",""
"X133","","15A7.D3",""
"X134","","15A7.D4",""
"X135","","15A7.D5",""
"X136","","15A7.D6",""
"X137","","15A7.D7",""
"Y0","","15A6.1","ANALOG"
"Y1","","15A6.1","ANALOG"
"Y2","","15A6.1","ANALOG"
"Y3","","15A6.1","ANALOG"
"Y4","","15A6.1","ANALOG"
"Y5","","15A6.1","ANALOG"
"Y6","","15A6.1","ANALOG"
"Y7","","15A6.1","ANALOG"
"Y10","","15A6.1","ANALOG"
"Y11","","15A6.1","ANALOG"
"Y12","","15A6.1","ANALOG"
"Y13","","15A6.1","ANALOG"
"Y14","","15A6.1","ANALOG"
"Y15","","15A6.1","ANALOG"
"Y16","","15A6.1","ANALOG"
"Y17","","15A6.1","ANALOG"
"Y20","Heating ON","15A8.A0","Включить нагрев камеры"
"Y21","Y-шиб закрыть","15A8.A1","Шибер закрыть"
"Y22","Y-шиб открыть","15A8.A2","Шибер открыть"
"Y23","Y-тел под печь","15A8.A3","Телегу под печь"
"Y24","Y-тел от печи","15A8.A4","Телегу от печки"
"Y25","rst1","15A8.A5","Сброс 1"
"Y26","rst2","15A8.A6","Сброс 2"
"Y27","","15A8.A7",""
"Y30","Y-ПОД вниз","15A8.B0","ПОД вниз"
"Y31","Y-Под вверх","15A8.B1","Под вверх"
"Y32","Y-ПОД закрыть","15A8.B2","ПОД закрыть"
"Y33","Y-ПОД открыть","15A8.B3","ПОД открыть"
"Y34","rst цепь","15A8.B4","Сброс концевика для цепи"
"Y35","Y-цепь вниз","15A8.B5","Цепь вниз"
"Y36","Y-цепь вверх","15A8.B6","Цепь вверх"
"Y37","","15A8.B7",""
"Y40","Y-дом вниз","15A8.C0","Домкрат вниз"
"Y41","Y-дом вверх","15A8.C1","Домкрат вверх"
"Y42","Y-клоп откр","15A8.C2","Клапан воздушный открыть"
"Y43","LED Emerg","15A8.C3","Авария индикация"
"Y44","AAAARRRR","15A8.C4","Зуммер при аварии"
"Y45","Led AutoCicle","15A8.C5","Индикация работы автоматического режима"
"Y46","Led Error","15A8.C6","Индикация ошибки при работе"
"Y47","","15A8.C7",""
"Y50","","15A8.D0",""
"Y51","","15A8.D1",""
"Y52","","15A8.D2",""
"Y53","","15A8.D3",""
"Y54","","15A8.D4",""
"Y55","","15A8.D5",""
"Y56","","15A8.D6",""
"Y57","","15A8.D7",""
"C1","","","Бит управления - не выполнены условия начала операции"
"C10","","","Двигать телегу в точку А"
"C11","","","Двигать телегу из точки А под печку"
"C12","","","Двигать телегу из точки А от печки на разгрузку"
"C13","","","Опустить домкрат"
"C14","","","Поднять домкрат"
"C15","","","Цепи вверх"
"C16","","","Цепи вниз, опускаются в зависимости от положения домкрата"
"C17","","","Открытие пода с опусканием"
"C20","","","Закрытие пода с поднятием"
"C21","","","Включить нагрев"
"C77","","","Автоматический контроль шиберного затвора"
"S1","Control","","Общий контроль"
"S2","PLC\Manual","","Выбор режима управления"
"S3","Control Bits","","Управляющие биты"
"S10","","","Двигать телегу в точку А"
"S11","","","Двигать телегу из точки А под печку"
"S12","","","Двигать телегу из точки А от печки на разгрузку"
"S13","","","Опустить домкрат"
"S14","","","Поднять домкрат"
"S15","","","Цепи вверх"
"S16","","","Цепи вниз, опускаются в зависимости от положения домкрата"
"S17","","","Открытие пода с опусканием"
"S20","","","Закрытие пода с поднятием"
"S21","","","Включить нагрев"
"T0","","","Таймер на операции "
"V400","Temp T1","","ИПМ 4-20мА 14А4.1"
"V401","Temp T2","","ИПМ 4-20мА 14А4.2"
"V402","Temp T3","","ИПМ 4-20мА 14А4.3"
"V403","Temp T4","","ИПМ 4-20мА 14А4.4"
"V404","Temp T5","","ИПМ 4-20мА 14А4.5"
"V405","Temp T6","","ИПМ 4-20мА 14А4.6"
"V406","Temp T7","","ИПМ 4-20мА 14А4.7"
"V430","Turbo Amp","","Ток привода вращения вентилятора"
"V450","Turbo Speed setU","","Задание скорости вращения вентилятора"
"V600","","","Код ошибки при выполнении операции"
"V601","","","Временный код ошибки"
"C0","","",""
"C2","","",""
"C3","","",""
"C4","","",""
"C5","","",""
"C6","","",""
"C7","","",""
"C22","","",""
"C23","","",""
"C24","","",""
"C25","","",""
"C26","","",""
"C27","","",""
"C30","","",""
"C31","","",""
"C32","","",""
"C33","","",""
"C34","","",""
"C35","","",""
"C36","","",""
"C37","","",""
"C40","","",""
"C41","","",""
"C42","","",""
"C43","","",""
"C44","","",""
"C45","","",""
"C46","","",""
"C47","","",""
"C50","","",""
"C51","","",""
"C52","","",""
"C53","","",""
"C54","","",""
"C55","","",""
"C56","","",""
"C57","","",""
"C60","","",""
"C61","","",""
"C62","","",""
"C63","","",""
"C64","","",""
"C65","","",""
"C66","","",""
"C67","","",""
"C70","","",""
"C71","","",""
"C72","","",""
"C73","","",""
"C74","","",""
"C75","","",""
"C76","","",""
"C100","","",""
"C101","","",""
"C102","","",""
"C103","","",""
"C104","","",""
"C105","","",""
"C106","","",""
"C107","","",""
"C110","","",""
"C111","","",""
"C112","","",""
"C113","","",""
"C114","","",""
"C115","","",""
"C116","","",""
"C117","","",""
"C120","","",""
"C121","","",""
"C122","","",""
"C123","","",""
"C124","","",""
"C125","","",""
"C126","","",""
"C127","","",""
"C130","","",""
"C131","","",""
"C132","","",""
"C133","","",""
"C134","","",""
"C135","","",""
"C136","","",""
"C137","","",""
"C140","","",""
"C141","","",""
"C142","","",""
"C143","","",""
"C144","","",""
"C145","","",""
"C146","","",""
"C147","","",""
"C150","","",""
"C151","","",""
"C152","","",""
"C153","","",""
"C154","","",""
"C155","","",""
"C156","","",""
"C157","","",""
"C160","","",""
"C161","","",""
"C162","","",""
"C163","","",""
"C164","","",""
"C165","","",""
"C166","","",""
"C167","","",""
"C170","","",""
"C171","","",""
"C172","","",""
"C173","","",""
"C174","","",""
"C175","","",""
"C176","","",""
"C177","","",""
"C200","","",""
"C201","","",""
"C202","","",""
"C203","","",""
"C204","","",""
"C205","","",""
"C206","","",""
"C207","","",""
"C210","","",""
"C211","","",""
"C212","","",""
"C213","","",""
"C214","","",""
"C215","","",""
"C216","","",""
"C217","","",""
"C220","","",""
"C221","","",""
"C222","","",""
"C223","","",""
"C224","","",""
"C225","","",""
"C226","","",""
"C227","","",""
"C230","","",""
"C231","","",""
"C232","","",""
"C233","","",""
"C234","","",""
"C235","","",""
"C236","","",""
"C237","","",""
"C240","","",""
"C241","","",""
"C242","","",""
"C243","","",""
"C244","","",""
"C245","","",""
"C246","","",""
"C247","","",""
"C250","","",""
"C251","","",""
"C252","","",""
"C253","","",""
"C254","","",""
"C255","","",""
"C256","","",""
"C257","","",""
"C260","","",""
"C261","","",""
"C262","","",""
"C263","","",""
"C264","","",""
"C265","","",""
"C266","","",""
"C267","","",""
"C270","","",""
"C271","","",""
"C272","","",""
"C273","","",""
"C274","","",""
"C275","","",""
"C276","","",""
"C277","","",""
"C300","","",""
"C301","","",""
"C302","","",""
"C303","","",""
"C304","","",""
"C305","","",""
"C306","","",""
"C307","","",""
"C310","","",""
"C311","","",""
"C312","","",""
"C313","","",""
"C314","","",""
"C315","","",""
"C316","","",""
"C317","","",""
"C320","","",""
"C321","","",""
"C322","","",""
"C323","","",""
"C324","","",""
"C325","","",""
"C326","","",""
"C327","","",""
"C330","","",""
"C331","","",""
"C332","","",""
"C333","","",""
"C334","","",""
"C335","","",""
"C336","","",""
"C337","","",""
"C340","","",""
"C341","","",""
"C342","","",""
"C343","","",""
"C344","","",""
"C345","","",""
"C346","","",""
"C347","","",""
"C350","","",""
"C351","","",""
"C352","","",""
"C353","","",""
"C354","","",""
"C355","","",""
"C356","","",""
"C357","","",""
"C360","","",""
"C361","","",""
"C362","","",""
"C363","","",""
"C364","","",""
"C365","","",""
"C366","","",""
"C367","","",""
"C370","","",""
"C371","","",""
"C372","","",""
"C373","","",""
"C374","","",""
"C375","","",""
"C376","","",""
"C377","","",""
"C400","","",""
"C401","","",""
"C402","","",""
"C403","","",""
"C404","","",""
"C405","","",""
"C406","","",""
"C407","","",""
"C410","","",""
"C411","","",""
"C412","","",""
"C413","","",""
"C414","","",""
"C415","","",""
"C416","","",""
"C417","","",""
"C420","","",""
"C421","","",""
"C422","","",""
"C423","","",""
"C424","","",""
"C425","","",""
"C426","","",""
"C427","","",""
"C430","","",""
"C431","","",""
"C432","","",""
"C433","","",""
"C434","","",""
"C435","","",""
"C436","","",""
"C437","","",""
"C440","","",""
"C441","","",""
"C442","","",""
"C443","","",""
"C444","","",""
"C445","","",""
"C446","","",""
"C447","","",""
"C450","","",""
"C451","","",""
"C452","","",""
"C453","","",""
"C454","","",""
"C455","","",""
"C456","","",""
"C457","","",""
"C460","","",""
"C461","","",""
"C462","","",""
"C463","","",""
"C464","","",""
"C465","","",""
"C466","","",""
"C467","","",""
"C470","","",""
"C471","","",""
"C472","","",""
"C473","","",""
"C474","","",""
"C475","","",""
"C476","","",""
"C477","","",""
"C500","","",""
"C501","","",""
"C502","","",""
"C503","","",""
"C504","","",""
"C505","","",""
"C506","","",""
"C507","","",""
"C510","","",""
"C511","","",""
"C512","","",""
"C513","","",""
"C514","","",""
"C515","","",""
"C516","","",""
"C517","","",""
"C520","","",""
"C521","","",""
"C522","","",""
"C523","","",""
"C524","","",""
"C525","","",""
"C526","","",""
"C527","","",""
"C530","","",""
"C531","","",""
"C532","","",""
"C533","","",""
"C534","","",""
"C535","","",""
"C536","","",""
"C537","","",""
"C540","","",""
"C541","","",""
"C542","","",""
"C543","","",""
"C544","","",""
"C545","","",""
"C546","","",""
"C547","","",""
"C550","","",""
"C551","","",""
"C552","","",""
"C553","","",""
"C554","","",""
"C555","","",""
"C556","","",""
"C557","","",""
"C560","","",""
"C561","","",""
"C562","","",""
"C563","","",""
"C564","","",""
"C565","","",""
"C566","","",""
"C567","","",""
"C570","","",""
"C571","","",""
"C572","","",""
"C573","","",""
"C574","","",""
"C575","","",""
"C576","","",""
"C577","","",""
"C600","","",""
"C601","","",""
"C602","","",""
"C603","","",""
"C604","","",""
"C605","","",""
"C606","","",""
"C607","","",""
"C610","","",""
"C611","","",""
"C612","","",""
"C613","","",""
"C614","","",""
"C615","","",""
"C616","","",""
"C617","","",""
"C620","","",""
"C621","","",""
"C622","","",""
"C623","","",""
"C624","","",""
"C625","","",""
"C626","","",""
"C627","","",""
"C630","","",""
"C631","","",""
"C632","","",""
"C633","","",""
"C634","","",""
"C635","","",""
"C636","","",""
"C637","","",""
"C640","","",""
"C641","","",""
"C642","","",""
"C643","","",""
"C644","","",""
"C645","","",""
"C646","","",""
"C647","","",""
"C650","","",""
"C651","","",""
"C652","","",""
"C653","","",""
"C654","","",""
"C655","","",""
"C656","","",""
"C657","","",""
"C660","","",""
"C661","","",""
"C662","","",""
"C663","","",""
"C664","","",""
"C665","","",""
"C666","","",""
"C667","","",""
"C670","","",""
"C671","","",""
"C672","","",""
"C673","","",""
"C674","","",""
"C675","","",""
"C676","","",""
"C677","","",""
"C700","","",""
"C701","","",""
"C702","","",""
"C703","","",""
"C704","","",""
"C705","","",""
"C706","","",""
"C707","","",""
"C710","","",""
"C711","","",""
"C712","","",""
"C713","","",""
"C714","","",""
"C715","","",""
"C716","","",""
"C717","","",""
"C720","","",""
"C721","","",""
"C722","","",""
"C723","","",""
"C724","","",""
"C725","","",""
"C726","","",""
"C727","","",""
"C730","","",""
"C731","","",""
"C732","","",""
"C733","","",""
"C734","","",""
"C735","","",""
"C736","","",""
"C737","","",""
"C740","","",""
"C741","","",""
"C742","","",""
"C743","","",""
"C744","","",""
"C745","","",""
"C746","","",""
"C747","","",""
"C750","","",""
"C751","","",""
"C752","","",""
"C753","","",""
"C754","","",""
"C755","","",""
"C756","","",""
"C757","","",""
"C760","","",""
"C761","","",""
"C762","","",""
"C763","","",""
"C764","","",""
"C765","","",""
"C766","","",""
"C767","","",""
"C770","","",""
"C771","","",""
"C772","","",""
"C773","","",""
"C774","","",""
"C775","","",""
"C776","","",""
"C777","","",""
"C1000","","",""
"S0","","",""
"S1000","","",""
"SP1","","",""
